pl_name,hostname,default_flag,pl_orbsmax,pl_rade,pl_radj,pl_masse,st_refname,st_spectype,st_teff,st_rad,st_mass,sy_dist,sy_gaiamag
11 Com b,11 Com,1,1.29,,,,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,G8 III,4742,19,2.7,93.1846,4.44038
11 UMi b,11 UMi,1,1.53,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4213,29.79,2.78,125.321,4.56216
14 And b,14 And,1,0.83,,,,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,K0 III,4813,11,2.2,75.4392,4.91781
14 Her b,14 Her,1,2.93,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5338,0.93,0.9,17.9323,6.383
16 Cyg B b,16 Cyg B,1,1.66,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5750,1.13,1.08,21.1397,6.06428
18 Del b,18 Del,1,2.6,,,,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,G6 III,4979,8.5,2.3,76.222,5.27476
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,330,,,3000,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,K7 V,4060,,0.85,139.135,12.0572
24 Boo b,24 Boo,1,0.19,,,,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASJ...70...59T/abstract target=ref>Takarada et al. 2018</a>,G3 IV,4893,10.64,0.99,95.9863,5.3339
24 Sex b,24 Sex,1,1.333,,,,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,,5098,4.9,1.54,72.0691,6.20374
24 Sex c,24 Sex,1,2.08,,,,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,,5098,4.9,1.54,72.0691,6.20374
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,84,,,4131.79,<a refstr=DELORME_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A&A...553L...5D/abstract target=ref>Delorme et al. 2013</a>,M5.5/M6,,,0.19,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,52,,,7786.5,<a refstr=BOWLER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref> Bowler et al. 2013 </a>,M3.5 V,3530,,0.4,33.8281,12.9025
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,156,16.141,1.44,4417.837,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,M6,3064,0.28,0.11,,15.0123
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,15,,,2383.6,<a refstr=TODOROV_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...714L..84T/abstract target=ref> Todorov et al. 2010 </a>,M8.5,,,0.02,,18.9668
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,55,,,1589.15,<a refstr=CHAUVIN_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...425L..29C/abstract target=ref> Chauvin et al. 2004 </a>,M8,,,0.02,64.308,17.4076
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,0.92,,,603.877,<a refstr=BARAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...577A.146B/abstract target=ref>Baran et al. 2015</a>,,,,0.48,396.332,12.1376
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,,10.31,0.92,6657.48,<a refstr=KONOPACKY_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...711.1087K/abstract target=ref> Konopacky et al. 2010 </a>,M8.5,2300,0.12,0.08,,17.3961
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,230,,,3972.875,<a refstr=BOWLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,K7 V,4045,,0.6,69.5737,11.9484
30 Ari B b,30 Ari B,1,0.99,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6331,1.41,1.93,44.657,6.96085
4 UMa b,4 UMa,1,0.87,,,,<a refstr=DOLLINGER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...472..649D/abstract target=ref> Dollinger et al. 2007 </a>,K1 III,4415,18.11,1.23,73.4603,4.23773
42 Dra b,42 Dra,1,1.19,,,,<a refstr=DOELLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...499..935D/abstract target=ref> Doellinger et al. 2009 </a>,K1.5 III,4200,22.03,0.98,90.6545,4.43216
47 UMa b,47 UMa,1,2.1,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5872,1.21,1.06,13.7967,4.87837
47 UMa c,47 UMa,1,3.6,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5872,1.21,1.06,13.7967,4.87837
47 UMa d,47 UMa,1,11.6,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5872,1.21,1.06,13.7967,4.87837
51 Eri b,51 Eri,1,13.2,,,635.66,<a refstr=MACINTOSH_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,F0 IV,,,1.75,29.7575,5.15806
51 Peg b,51 Peg,1,0.0527,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5758,1.18,1.03,15.4614,5.28647
55 Cnc b,55 Cnc,1,0.1134,,,,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172,0.94,0.91,12.5855,5.72973
55 Cnc c,55 Cnc,1,0.2373,,,,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172,0.94,0.91,12.5855,5.72973
55 Cnc d,55 Cnc,1,5.957,,,,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172,0.94,0.91,12.5855,5.72973
55 Cnc e,55 Cnc,1,0.01544,1.875,0.167,7.99,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172,0.94,0.91,12.5855,5.72973
55 Cnc f,55 Cnc,1,0.7708,,,,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172,0.94,0.91,12.5855,5.72973
6 Lyn b,6 Lyn,1,2.11,,,,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,4938,5.2,1.44,54.6599,5.60686
61 Vir b,61 Vir,1,0.050201,,,,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,G5 V,5577,0.96,0.94,8.50332,4.54052
61 Vir c,61 Vir,1,0.2175,,,,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,G5 V,5577,0.96,0.94,8.50332,4.54052
61 Vir d,61 Vir,1,0.476,,,,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,G5 V,5577,0.96,0.94,8.50332,4.54052
7 CMa b,7 CMa,1,1.758,,,,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A.136L/abstract target=ref>Luque et al. 2019</a>,,4826,4.87,1.34,19.8101,3.67853
7 CMa c,7 CMa,1,2.153,,,,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A.136L/abstract target=ref>Luque et al. 2019</a>,,4826,4.87,1.34,19.8101,3.67853
70 Vir b,70 Vir,1,0.481,,,,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,5495,1.89,1.09,17.9011,4.76178
75 Cet b,75 Cet,1,2.1,,,,<a refstr=SATO_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012PASJ...64..135S/abstract target=ref> Sato et al. 2012 </a>,G3 III,4846,10.5,2.49,82.9613,5.09343
8 UMi b,8 UMi,1,0.49,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4847,10.3,1.44,162.552,6.55896
81 Cet b,81 Cet,1,2.5,,,,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,G5 III,4785,11,2.4,101.26,5.37588
91 Aqr b,91 Aqr,1,0.7,,,,<a refstr=MITCHELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A..87M/abstract target=ref> Mitchell et al. 2013 </a>,K0 III,4665,11,1.4,44.0304,3.95311
AB Pic b,AB Pic,1,260,,,4290.5,<a refstr=CHAUVIN_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...438L..29C/abstract target=ref> Chauvin et al. 2005 </a>,K2 V,,,,50.0475,8.8378
AU Mic b,AU Mic,1,0.066,4.203,0.375,,<a refstr=PLAVCHAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.582..497P/abstract target=ref>Plavchan et al. 2020</a>,,3700,0.75,0.5,9.7221,7.84038
BD+03 2562 b,BD+03 2562,1,1.3,,,,<a refstr=VILLAVER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...606A..38V/abstract target=ref>Villaver et al. 2017</a>,,4095,32.35,1.14,1070.63,8.9977
BD+14 4559 b,BD+14 4559,1,0.78,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4864,0.86,0.49,49.352,9.35108
BD+15 2375 b,BD+15 2375,1,0.576,,,,<a refstr=NIEDZIELSKI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A..62N/abstract target=ref>Niedzielski et al. 2016</a>,,4649,8.95,1.08,768.045,9.9918
BD+15 2940 b,BD+15 2940,1,0.539,,,,<a refstr=NOWAK_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770...53N/abstract target=ref> Nowak et al. 2013 </a>,K0,4796,14.7,1.1,426.42,8.7178
BD+20 2457 b,BD+20 2457,1,1.05,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4259,71.02,10.83,1539.71,9.22684
BD+20 2457 c,BD+20 2457,1,2.01,,,,<a refstr=NIEDZIELSKI_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...707..768N/abstract target=ref> Niedzielski et al. 2009 </a>,K2 II,4137,49,2.8,1539.71,9.22684
BD+20 274 b,BD+20 274,1,1.3,,,,<a refstr=GETTEL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...756...53G/abstract target=ref> Gettel et al. 2012 </a>,K5 III,4296,17.3,0.8,1322.51,8.91613
BD+20 594 b,BD+20 594,1,,2.578,0.23,22.2481,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5766,1.08,1.67,179.461,10.8644
BD+45 564 b,BD+45 564,1,0.83,,,,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210509741D/abstract target=ref>Dalal et al. 2021</a>,K1,5004,,0.81,53.622,9.41266
BD+48 738 b,BD+48 738,1,1,,,,<a refstr=GETTEL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...28G/abstract target=ref> Gettel et al. 2012 </a>,K0 III,4414,11,0.74,871.493,8.65569
BD+48 740 b,BD+48 740,1,1.7,,,,<a refstr=ADAM_OACUTE_W_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..47A/abstract target=ref>Adam&oacute;w et al. 2018</a>,,4534,10.33,1.09,666.589,8.26449
BD+49 828 b,BD+49 828,1,4.2,,,,<a refstr=NIEDZIELSKI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...803....1N/abstract target=ref>Niedzielski et al. 2015</a>,K0,4943,7.6,1.52,442.042,9.02851
BD+55 362 b,BD+55 362,1,0.78,,,,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210509741D/abstract target=ref>Dalal et al. 2021</a>,K3,5012,,0.91,52.5697,9.15305
BD+63 1405 b,BD+63 1405,1,2.06,,,,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210509741D/abstract target=ref>Dalal et al. 2021</a>,K0,5000,,0.82,38.0473,8.705
BD-00 4475 b,BD-00 4475,1,1.48,,,,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210509741D/abstract target=ref>Dalal et al. 2021</a>,G0,5040,,0.81,42.6402,8.78101
BD-06 1339 b,BD-06 1339,1,0.0428,,,,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,K7/M0 V,4324,,0.7,20.2695,9.10677
BD-06 1339 c,BD-06 1339,1,0.435,,,,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,K7/M0 V,4324,,0.7,20.2695,9.10677
BD-08 2823 b,BD-08 2823,1,0.06,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4816,0.71,0.5,41.3342,9.50331
BD-08 2823 c,BD-08 2823,1,0.68,,,,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacute;brard et al. 2010 </a>,K3 V,4746,,0.74,41.3342,9.50331
BD-10 3166 b,BD-10 3166,1,0.04,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5393,0.91,1.47,84.4069,9.83981
BD-11 4672 b,BD-11 4672,1,2.36,,,,<a refstr=BARBATO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200614393B/abstract target=ref>Barbato et al. 2020</a>,,4550,0.64,0.65,27.1665,9.48511
BD-11 4672 c,BD-11 4672,1,0.3,,,,<a refstr=BARBATO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200614393B/abstract target=ref>Barbato et al. 2020</a>,,4550,0.64,0.65,27.1665,9.48511
BD-13 2130 b,BD-13 2130,1,1.66,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4545,19.17,2.12,925.214,9.69971
BD-17 63 b,BD-17 63,1,1.34,,,,<a refstr=MOUTOU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...496..513M/abstract target=ref> Moutou et al. 2009 </a>,K5 V,4714,0.69,0.74,34.4603,9.20112
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,2.6,,,3337.1,<a refstr=LIU_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...740..108L/abstract target=ref> Liu et al. 2011 </a>,,580.5,,0.02,,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,200,20.849,1.86,2479.06157,<a refstr=FONTANIVE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...905L..14F/abstract target=ref>Fontanive et al. 2020</a>,M9-L1,2320,0.24,0.01,,
CHXR 73 b,CHXR 73,1,210,,,3994.486,<a refstr=LUHMAN_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...649..894L/abstract target=ref> Luhman et al. 2006 </a>,M3.5,,,0.35,190.374,17.2934
CI Tau b,CI Tau,1,,,,3686.828,<a refstr=FLAGG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190602860F/abstract target=ref>Flagg et al. 2019</a>,K7,,,0.9,157.998,12.1454
CT Cha b,CT Cha,1,440,24.66,2.2,5403,<a refstr=SCHMIDT_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..311S/abstract target=ref> Schmidt et al. 2008 </a>,,,,,190.72,11.7733
CoRoT-1 b,CoRoT-1,1,,16.7,1.49,327.35,<a refstr=BARGE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..17B/abstract target=ref> Barge et al. 2008 </a>,G0 V,5950,1.11,0.95,787.909,13.457
CoRoT-10 b,CoRoT-10,1,0.1055,10.87,0.97,874,<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>,K1 V,5075,0.79,0.89,338.386,14.6645
CoRoT-11 b,CoRoT-11,1,0.0436,16.03,1.43,740.51,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,F6 V,6440,1.37,1.27,655.037,12.841
CoRoT-12 b,CoRoT-12,1,0.04016,16.14,1.44,291.438,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..97G/abstract target=ref> Gillon et al. 2010 </a>,,5675,1.12,1.08,1126.37,15.3453
CoRoT-13 b,CoRoT-13,1,0.051,9.92,0.885,415.704,<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>,G0 V,5945,1.01,1.09,1148.93,14.9147
CoRoT-14 b,CoRoT-14,1,0.027,12.22,1.09,2415.4,<a refstr=TINGLEY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...528A..97T/abstract target=ref> Tingley et al. 2011 </a>,F9 V,6035,1.21,1.13,1744.6,15.8116
CoRoT-16 b,CoRoT-16,1,0.0618,13.11,1.17,170.032,<a refstr=OLLIVIER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...541A.149O/abstract target=ref> Ollivier et al. 2012 </a>,G5 V,5650,1.19,1.1,732.409,15.6507
CoRoT-17 b,CoRoT-17,1,0.0461,11.43,1.02,772.29,<a refstr=CSIZMADIA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...531A..41C/abstract target=ref> Csizmadia et al. 2011 </a>,G2 V,5740,1.59,1.04,1176.12,15.4368
CoRoT-18 b,CoRoT-18,1,0.0295,14.68,1.31,1102.82,<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>,G9 V,5440,1,0.95,764.889,14.8009
CoRoT-19 b,CoRoT-19,1,0.0518,14.46,1.29,352.78,<a refstr=GUENTHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A.136G/abstract target=ref> Guenther et al. 2012 </a>,F9 V,6090,1.65,1.21,790.663,13.7831
CoRoT-2 b,CoRoT-2,1,0.02798,16.432,1.466,1102.82,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...511A...3G/abstract target=ref> Gillon et al. 2010 </a>,,5625,0.91,0.96,213.283,12.2489
CoRoT-20 b,CoRoT-20,1,0.09,,,1366.669,<a refstr=REY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180701229R/abstract target=ref>Rey et al. 2018</a>,,,,1.14,844.061,14.4686
CoRoT-20 c,CoRoT-20,1,2.9,,,,<a refstr=REY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180701229R/abstract target=ref>Rey et al. 2018</a>,,,,1.14,844.061,14.4686
CoRoT-21 b,CoRoT-21,1,0.0417,14.572,1.3,718.2958,<a refstr=P_AUML_TZOLD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...545A...6P/abstract target=ref>P&auml;tzold et al. 2012</a>,F8 IV,6200,1.95,1.29,,15.8558
CoRoT-22 b,CoRoT-22,1,0.092,4.88,0.435,12.2,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.444.2783M/abstract target=ref>Moutou et al. 2014</a>,G3 V,5939,1.14,1.1,627.158,13.7305
CoRoT-23 b,CoRoT-23,1,0.048,11.77,1.05,889.9,<a refstr=ROUAN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A..54R/abstract target=ref> Rouan et al. 2012 </a>,G0 V,5900,1.61,1.14,1060.97,15.0681
CoRoT-24 b,CoRoT-24,1,0.056,3.7,0.33,5.7,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>,K1 V,4950,0.86,0.91,591.555,15.1801
CoRoT-24 c,CoRoT-24,1,0.098,5,0.44,28,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>,K1 V,4950,0.86,0.91,591.555,15.1801
CoRoT-25 b,CoRoT-25,1,0.0578,12.11,1.08,85.81,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,F9,6040,1.19,1.09,1103.48,14.711
CoRoT-26 b,CoRoT-26,1,0.0526,14.12,1.26,165.26,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,G5,5590,1.79,1.09,1045.18,15.4682
CoRoT-27 b,CoRoT-27,1,0.0476,11.287,1.007,3302.11,<a refstr=PARVIAINEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...562A.140P/abstract target=ref> Parviainen et al. 2014 </a>,G2,5900,1.08,1.05,1010.28,15.3902
CoRoT-28 b,CoRoT-28,1,0.0603,10.705,0.955,153.82972,<a refstr=CABRERA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...579A..36C/abstract target=ref>Cabrera et al. 2015</a>,G8/9 IV,5150,1.78,1.01,766.183,13.4119
CoRoT-29 b,CoRoT-29,1,0.0386,10.088,0.9,270.1555,<a refstr=CABRERA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...579A..36C/abstract target=ref>Cabrera et al. 2015</a>,K0 V,5260,0.9,0.97,806.507,15.2394
CoRoT-3 b,CoRoT-3,1,,11.32,1.01,6883.91,<a refstr=DELEUIL_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..889D/abstract target=ref> Deleuil et al. 2008 </a>,F3 V,6740,1.56,1.37,768.771,13.2188
CoRoT-30 b,CoRoT-30,1,0.0844,11.31,1.009,921.707,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute; et al. 2020</a>,G3 V,5650,0.91,0.98,1032.23,15.413
CoRoT-31 b,CoRoT-31,1,0.0586,16.365,1.46,266.9772,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute; et al. 2020</a>,G2 IV,5700,2.15,1.25,2005.76,15.4655
CoRoT-4 b,CoRoT-4,1,0.09,13.34,1.19,228.83,<a refstr=MOUTOU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...488L..47M/abstract target=ref> Moutou et al. 2008 </a>,,6190,1.17,1.16,726.412,13.5613
CoRoT-5 b,CoRoT-5,1,0.04947,15.558,1.388,148.42,<a refstr=RAUER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...506..281R/abstract target=ref> Rauer et al. 2009 </a>,F9 V,6100,1.19,1,882.472,13.9021
CoRoT-6 b,CoRoT-6,1,0.0855,13.068,1.166,940.74,<a refstr=FRIDLUND_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..14F/abstract target=ref> Fridlund et al. 2010 </a>,F9 V,6090,1.02,1.05,645.294,13.7459
CoRoT-7 b,CoRoT-7,1,,1.681,0.15,4.07661,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5275,0.83,0.82,159.906,11.5239
CoRoT-7 c,CoRoT-7,1,0.046,,,8.4,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5256,0.86,0.9,159.906,11.5239
CoRoT-8 b,CoRoT-8,1,0.063,6.39,0.57,69.92,<a refstr=BORDE_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..66B/abstract target=ref> Borde et al. 2010 </a>,K1 V,5080,0.77,0.88,322.037,14.2195
CoRoT-9 b,CoRoT-9,1,0.4021,11.949,1.066,266.9772,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...603A..43B/abstract target=ref>Bonomo et al. 2017</a>,,5625,0.96,0.96,412.98,13.5008
