pl_name,hostname,default_flag,pl_orbsmax,pl_rade,pl_radj,pl_masse,st_refname,st_spectype,st_teff,st_rad,st_mass,sy_dist,sy_gaiamag
HD 31253 b,HD 31253,1,1.26,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6130,1.75,1.7,58.1438,6.98479
HD 31527 b,HD 31527,1,0.1254,,,,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,G2 V,5898,,0.96,38.4473,7.33222
HD 31527 c,HD 31527,1,0.2663,,,,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,G2 V,5898,,0.96,38.4473,7.33222
HD 31527 d,HD 31527,1,0.8098,,,,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,G2 V,5898,,0.96,38.4473,7.33222
HD 3167 b,HD 3167,1,0.0186,1.7,0.152,,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,5528,0.87,0.94,47.2899,8.76221
HD 3167 c,HD 3167,1,0.1841,2.86,0.255,,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,5528,0.87,0.94,47.2899,8.76221
HD 3167 d,HD 3167,1,0.07757,,,,<a refstr=CHRISTIANSEN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..122C/abstract target=ref>Christiansen et al. 2017</a>,K0 V,5261,0.86,0.86,47.2899,8.76221
HD 32518 b,HD 32518,1,0.59,,,,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,K1 III,4580,10.22,1.13,122.115,6.11933
HD 32963 b,HD 32963,1,3.41,,,,<a refstr=ROWAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...817..104R/abstract target=ref>Rowan et al. 2016</a>,,5727,,0.94,38.0786,7.42756
HD 330075 b,HD 330075,1,0.04,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5000,0.84,0.47,45.2989,9.09159
HD 331093 b,HD 331093,1,1.44,,,,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210509741D/abstract target=ref>Dalal et al. 2021</a>,K0,5544,,1.03,50.1928,8.19105
HD 33142 b,HD 33142,1,1.07,,,,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,4978,4.45,1.41,121.375,7.71274
HD 33142 c,HD 33142,1,,,,,<a refstr=BRYAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...89B/abstract target=ref>Bryan et al. 2016</a>,,,,1.62,121.375,7.71274
HD 332231 b,HD 332231,1,0.1436,9.718,0.867,77.55052,<a refstr=DALBA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..241D/abstract target=ref>Dalba et al. 2020</a>,F8,6089,1.28,1.13,80.6665,8.41839
HD 33283 b,HD 33283,1,0.1508,,,,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,G3/G5 V,5935,1.97,1.38,89.8623,7.89933
HD 33564 b,HD 33564,1,1.1,,,,<a refstr=GALLAND_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...444L..21G/abstract target=ref> Galland et al. 2005 </a>,F6 V,6250,,1.25,20.9531,4.97155
HD 33844 b,HD 33844,1,1.6,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4861,5.39,1.84,105.779,7.01153
HD 33844 c,HD 33844,1,2.24,,,,<a refstr=WITTENMYER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...818...35W/abstract target=ref>Wittenmyer et al. 2016</a>,K0 III,4861,5.29,1.78,105.779,7.01153
HD 34445 b,HD 34445,1,2.07,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5879,1.38,1.14,46.0907,7.14947
HD 34445 c,HD 34445,1,0.7181,,,,<a refstr=VOGT_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..181V/abstract target=ref>Vogt et al. 2017</a>,G0 V,5836,1.38,1.07,46.0907,7.14947
HD 34445 d,HD 34445,1,0.4817,,,,<a refstr=VOGT_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..181V/abstract target=ref>Vogt et al. 2017</a>,G0 V,5836,1.38,1.07,46.0907,7.14947
HD 34445 e,HD 34445,1,0.2687,,,,<a refstr=VOGT_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..181V/abstract target=ref>Vogt et al. 2017</a>,G0 V,5836,1.38,1.07,46.0907,7.14947
HD 34445 f,HD 34445,1,1.543,,,,<a refstr=VOGT_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..181V/abstract target=ref>Vogt et al. 2017</a>,G0 V,5836,1.38,1.07,46.0907,7.14947
HD 34445 g,HD 34445,1,6.36,,,,<a refstr=VOGT_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..181V/abstract target=ref>Vogt et al. 2017</a>,G0 V,5836,1.38,1.07,46.0907,7.14947
HD 35759 b,HD 35759,1,0.389,,,,<a refstr=H_EACUTE_BRARD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.145H/abstract target=ref>H&eacute;brard et al. 2016</a>,G0,6060,,1.15,71.2423,7.59606
HD 3651 b,HD 3651,1,0.295,,,,<a refstr=WITTENMYER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.5859W/abstract target=ref>Wittenmyer et al. 2019</a>,,5221,,0.8,11.1336,5.65255
HD 37124 b,HD 37124,1,0.53364,,,,<a refstr=WRIGHT_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730...93W/abstract target=ref>Wright et al. 2011</a>,G4 V,,,0.85,31.6634,7.47238
HD 37124 c,HD 37124,1,1.71,,,,<a refstr=WRIGHT_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730...93W/abstract target=ref>Wright et al. 2011</a>,G4 V,,,0.85,31.6634,7.47238
HD 37124 d,HD 37124,1,2.807,,,,<a refstr=WRIGHT_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730...93W/abstract target=ref>Wright et al. 2011</a>,G4 V,,,0.85,31.6634,7.47238
HD 37605 b,HD 37605,1,0.277,,,,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,K0,5329,0.91,0.94,46.7864,8.46192
HD 37605 c,HD 37605,1,3.74,,,,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,K0,5329,0.91,0.94,46.7864,8.46192
HD 3765 b,HD 3765,1,2.108,,,,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>,,5049.8,0.83,0.85,17.926,7.07827
HD 38283 b,HD 38283,1,1.02,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5981,1.49,1.37,38.0615,6.54392
HD 38529 b,HD 38529,1,0.1294,,,,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,5541,2.56,1.41,42.3538,5.74796
HD 38529 c,HD 38529,1,3.64,,,,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,5541,2.56,1.41,42.3538,5.74796
HD 38801 b,HD 38801,1,1.623,,,,<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>,,5338,2.03,1.21,91.4349,8.03397
HD 39091 b,HD 39091,1,3.1,,,,<a refstr=HUANG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...868L..39H/abstract target=ref>Huang et al. 2018</a>,G0 V,6037,1.1,1.09,18.2702,5.5128
HD 39855 b,HD 39855,1,0.041,,,,<a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>,G8 V,5576,,0.87,23.2599,7.32113
HD 40307 b,HD 40307,1,0.0468,,,,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>,K2.5 V,4956,,0.77,12.9363,6.84367
HD 40307 c,HD 40307,1,0.0799,,,,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>,K2.5 V,4956,,0.77,12.9363,6.84367
HD 40307 d,HD 40307,1,0.1321,,,,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>,K2.5 V,4956,,0.77,12.9363,6.84367
HD 40307 f,HD 40307,1,0.247,,,,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>,K2.5 V,4956,,0.77,12.9363,6.84367
HD 40307 g,HD 40307,1,0.6,,,,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>,K2.5 V,4956,,0.77,12.9363,6.84367
HD 40956 b,HD 40956,1,1.4,,,,<a refstr=JEONG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...610A...3J/abstract target=ref>Jeong et al. 2018</a>,,4869,8.56,2,116.593,6.14049
HD 40979 b,HD 40979,1,0.85,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6165,1.21,1.45,34.0883,6.59963
HD 41004 A b,HD 41004 A,1,,,,,<a refstr=ZUCKER_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...426..695Z/abstract target=ref> Zucker et al. 2004 </a>,,,,,36.69117,
HD 41004 B b,HD 41004 B,1,,,,,<a refstr=ZUCKER_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...426..695Z/abstract target=ref> Zucker et al. 2004 </a>,M2 V,,,0.4,41.5504,8.37625
HD 4113 b,HD 4113,1,1.28,,,,<a refstr=TAMUZ_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...480L..33T/abstract target=ref> Tamuz et al. 2008 </a>,G5,5688,,0.99,41.8727,7.71051
HD 42012 b,HD 42012,1,1.67,,,,<a refstr=REY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...601A...9R/abstract target=ref>Rey et al. 2017</a>,K0,5405,0.82,0.83,36.7984,8.22949
HD 4203 b,HD 4203,1,1.17,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5596,1.42,1.25,81.3795,8.51545
HD 4203 c,HD 4203,1,6.95,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5582,1.5,0.99,81.3795,8.51545
HD 4208 b,HD 4208,1,1.662,,,,<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>,,5717,0.85,0.88,34.1937,7.61066
HD 42618 b,HD 42618,1,0.554,,,,<a refstr=FULTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...46F/abstract target=ref>Fulton et al. 2016</a>,G4 V,5727,1,1.01,24.3358,6.68303
HD 4308 b,HD 4308,1,0.12,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5686,1.02,0.93,22.0158,6.37578
HD 4313 b,HD 4313,1,1.157,,,,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,4943,5.14,1.63,136.308,7.57399
HD 43197 b,HD 43197,1,0.92,,,,<a refstr=NAEF_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...523A..15N/abstract target=ref> Naef et al. 2010 </a>,G8 V,5508,1,0.96,62.4112,8.77158
HD 43691 b,HD 43691,1,0.238,,,,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,G0,6093,1.6,1.32,85.6009,7.8972
HD 44219 b,HD 44219,1,1.19,,,,<a refstr=NAEF_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...523A..15N/abstract target=ref> Naef et al. 2010 </a>,G2 V,5752,1.32,1,52.9051,7.52973
HD 45184 b,HD 45184,1,0.0644,,,,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,G1.5 V,5869,,1.03,21.9532,6.21037
HD 45184 c,HD 45184,1,0.11,,,,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,G1.5 V,5869,,1.03,21.9532,6.21037
HD 45350 b,HD 45350,1,1.92,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5566,1.26,0.98,46.8733,7.7
HD 45364 b,HD 45364,1,0.6813,,,,<a refstr=CORREIA_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...496..521C/abstract target=ref> Correia et al. 2009 </a>,K0 V,5434,,0.82,34.354,7.88016
HD 45364 c,HD 45364,1,0.8972,,,,<a refstr=CORREIA_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...496..521C/abstract target=ref> Correia et al. 2009 </a>,K0 V,5434,,0.82,34.354,7.88016
HD 45652 b,HD 45652,1,0.237,,,,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,G8/K0,5294,0.94,0.92,34.8541,7.9118
HD 46375 b,HD 46375,1,0.0398,,,,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,,5285,,0.92,29.5529,7.69533
HD 47186 b,HD 47186,1,0.05,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5657,1.08,0.96,37.4574,7.44897
HD 47186 c,HD 47186,1,2.395,,,,<a refstr=BOUCHY_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...496..527B/abstract target=ref> Bouchy et al. 2009 </a>,,,,,37.4574,7.44897
HD 4732 b,HD 4732,1,1.19,,,,<a refstr=SATO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...762....9S/abstract target=ref> Sato et al. 2013 </a>,K0 IV,4959,5.4,1.74,54.7841,5.6509
HD 4732 c,HD 4732,1,4.6,,,,<a refstr=SATO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...762....9S/abstract target=ref> Sato et al. 2013 </a>,K0 IV,4959,5.4,1.74,54.7841,5.6509
HD 47366 b,HD 47366,1,1.28,,,,<a refstr=MARSHALL_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157....1M/abstract target=ref>Marshall et al. 2019</a>,,4914,6.2,2.19,84.3552,5.83869
HD 47366 c,HD 47366,1,1.97,,,,<a refstr=MARSHALL_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157....1M/abstract target=ref>Marshall et al. 2019</a>,,4914,6.2,2.19,84.3552,5.83869
HD 47536 b,HD 47536,1,1.93,,,,<a refstr=SETIAWAN_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003A&A...398L..19S/abstract target=ref> Setiawan et al. 2003 </a>,K1 III,4380,23.47,2.1,122.536,4.88004
HD 4760 b,HD 4760,1,1.14,,,,<a refstr=NIEDZIELSKI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210110410N/abstract target=ref>Niedzielski et al. 2021</a>,,4076,42.4,1.05,537.873,6.98504
HD 48265 b,HD 48265,1,1.814,,,,<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>,,5733,1.9,1.31,90.5446,7.87925
HD 4917 b,HD 4917,1,1.167,,,,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,4802,5.01,1.32,204.277,7.74877
HD 49674 b,HD 49674,1,0.06,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5602,1.02,1.03,43.0399,7.91841
HD 50499 b,HD 50499,1,3.833,,,,<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>,,6102,1.35,1.25,46.2845,7.0564
HD 50499 c,HD 50499,1,9.02,,,,<a refstr=RICKMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..71R/abstract target=ref>Rickman et al. 2019</a>,G1 V,6099,1.42,1.31,46.2845,7.0564
HD 50554 b,HD 50554,1,2.353,,,,<a refstr=LIU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014RAA....14.1447L/abstract target=ref>Liu et al. 2014</a>,,5987,1.02,1.04,31.1664,6.69786
HD 51608 b,HD 51608,1,0.1059,,,,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,G7 V,5358,,0.8,35.0553,7.96058
HD 51608 c,HD 51608,1,0.3809,,,,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,G7 V,5358,,0.8,35.0553,7.96058
HD 52265 b,HD 52265,1,0.52,,,,<a refstr=WITTENMYER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.5859W/abstract target=ref>Wittenmyer et al. 2019</a>,,6136,,1.2,29.9803,6.15257
HD 5278 b,HD 5278,1,0.1202,2.45,0.219,7.8,<a refstr=SOZZETTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...648A..75S/abstract target=ref>Sozzetti et al. 2021</a>,F V,6203,1.19,1.13,57.5846,7.80375
HD 5278 c,HD 5278,1,0.2416,,,,<a refstr=SOZZETTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...648A..75S/abstract target=ref>Sozzetti et al. 2021</a>,F V,6203,1.19,1.13,57.5846,7.80375
HD 5319 b,HD 5319,1,1.57,,,,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,4871,4.06,1.27,121.405,7.77238
